,Tenure Months,Monthly Charges,Total Charges,Churn Score,CLTV,Dependents_Yes,Multiple Lines_Yes,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Contract_One year,Paperless Billing_Yes,Internet Service_No,Streaming Movies_No internet service,Streaming Movies_Yes,Payment Method_Electronic check,Payment Method_Mailed check,predicciones,reales
1140,1,19.1,19.1,84,5890,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1
1141,1,80.3,80.3,87,4138,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1142,1,74.9,74.9,73,5919,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1143,9,80.85,751.65,71,5242,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1144,3,24.75,66.95,69,3503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1145,49,90.85,4515.85,70,5651,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1146,2,79.7,165.0,65,3039,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1147,55,57.55,3046.4,69,5463,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1148,21,86.5,1808.7,72,2036,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1149,69,103.95,7446.9,86,4283,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1150,1,25.1,25.1,85,5437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1151,39,48.95,1880.85,80,3080,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
1152,6,83.55,477.55,91,4242,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1153,17,89.15,1496.9,89,5082,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1154,1,70.45,70.45,90,3525,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
1155,58,60.3,3563.8,88,4026,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1156,1,24.75,24.75,96,3001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1157,19,103.3,2012.7,67,2349,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
1158,3,78.5,242.05,71,3567,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1159,3,19.85,63.75,95,3398,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
1160,3,79.9,260.9,97,4367,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1161,30,99.7,2967.35,69,3548,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1162,15,58.6,939.7,97,2003,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1163,10,98.5,1037.75,91,4501,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1164,1,50.45,50.45,69,2806,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
1165,38,94.65,3624.3,71,3498,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1166,1,100.25,100.25,100,5797,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
1167,16,88.45,1422.1,88,5186,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1
1168,1,69.85,69.85,97,4548,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1169,12,81.7,858.6,76,2850,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1170,4,79.9,324.3,77,4669,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1171,15,25.4,399.6,86,2853,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1
1172,41,83.75,3273.55,71,4995,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1173,1,20.9,20.9,82,5421,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
1174,1,69.4,69.4,65,2404,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
1175,7,74.9,541.15,68,5159,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1176,42,74.15,3229.4,94,2322,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1177,1,70.1,70.1,100,2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1178,12,78.3,909.25,98,3545,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1179,55,96.8,5283.95,82,4089,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1180,17,94.4,1617.5,66,2825,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1181,1,84.3,84.3,78,2172,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
1182,72,92.45,6440.25,78,5697,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1183,11,99.55,1131.2,71,3172,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1184,8,81.25,585.95,72,3812,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
1185,1,19.95,19.95,76,4860,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1186,23,99.25,2186.4,76,5338,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1187,39,80.45,3201.55,85,2224,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
1188,9,79.35,661.25,93,4533,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
1189,15,79.75,1111.85,65,2813,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1190,30,100.05,3046.15,100,4664,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1191,1,69.35,69.35,91,5796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1192,3,85.8,272.2,89,5641,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
1193,67,79.7,5293.4,77,6289,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1194,1,50.55,50.55,95,3357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1195,1,80.55,80.55,91,4273,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1196,12,84.5,916.9,84,4154,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
1197,22,84.3,1855.65,85,5313,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1198,2,67.75,116.65,71,2299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1199,27,85.25,2287.25,80,5172,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1200,10,80.05,830.7,76,3740,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1201,1,20.0,20.0,83,3657,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
1202,22,48.8,1054.6,100,2270,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1203,1,85.05,85.05,96,2975,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1204,21,102.8,2110.15,100,3123,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1205,6,99.95,547.65,87,3722,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1
1206,72,117.8,8684.8,100,4432,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1
1207,54,79.5,4370.25,78,5684,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1208,3,79.65,251.75,87,5036,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1209,8,94.7,740.3,94,5811,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1210,5,92.5,452.7,73,2810,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
1211,1,19.45,19.45,84,2865,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
1212,2,75.55,166.3,77,4320,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1213,1,70.0,70.0,85,2485,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1214,65,74.8,4820.15,89,5207,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
1215,33,104.4,3409.6,71,3185,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1216,15,86.2,1270.2,90,5829,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1217,30,51.2,1561.5,79,4568,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
1218,2,19.5,31.55,82,2484,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
1219,4,74.9,321.75,78,2122,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1220,2,74.9,147.15,93,2078,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1221,25,100.25,2387.75,74,2195,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1222,25,102.8,2660.2,94,4969,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
1223,43,100.0,4211.55,93,4760,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
1224,10,99.85,990.9,69,4243,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
1225,2,94.2,193.8,79,5299,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
1226,9,83.85,790.15,71,3723,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1227,27,88.3,2467.75,96,2420,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1228,69,104.05,7262.0,100,4254,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1
1229,22,94.7,1914.9,72,5615,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1230,56,100.65,5688.05,85,4803,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1231,66,80.55,5265.1,94,4400,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1232,24,78.85,1772.25,65,3079,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1233,1,44.45,44.45,65,4879,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1234,36,84.9,3067.2,69,2455,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1235,1,20.25,20.25,89,2959,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
1236,1,74.35,74.35,66,5633,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1237,1,62.05,62.05,86,2937,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1238,39,80.0,3182.95,76,2704,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
1239,5,104.1,541.9,76,3131,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
1240,24,39.1,971.3,89,4591,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1241,2,76.5,162.45,80,5944,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1242,5,49.2,216.9,73,4336,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1243,11,23.15,245.2,65,5671,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1244,4,80.85,302.75,73,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1245,1,60.1,60.1,88,5654,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1246,1,78.95,78.95,75,2038,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1247,2,45.15,98.5,81,2699,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1248,3,79.4,244.65,97,2448,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1249,44,53.95,2375.4,100,3051,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1
1250,24,99.3,2431.35,69,4811,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1251,18,80.65,1451.9,95,3788,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1252,1,71.1,71.1,98,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1253,65,106.25,6979.8,69,5965,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
1254,53,20.8,1021.8,78,4166,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
1255,1,94.0,94.0,67,4176,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1256,15,89.85,1424.95,99,2668,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1257,4,46.0,193.6,97,5246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1258,9,66.25,620.55,67,5515,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1259,22,90.0,1993.8,95,4739,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
1260,38,70.45,2597.6,82,5437,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1261,53,19.75,1052.35,66,6265,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1262,1,53.95,53.95,90,2771,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1263,8,105.5,829.55,72,5546,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1264,16,81.0,1312.15,83,2335,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1265,1,69.8,69.8,96,2123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1266,7,73.75,545.15,84,5638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1267,9,54.55,494.05,79,4656,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1268,37,76.25,2841.55,100,5859,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1269,5,93.9,486.85,92,5435,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
1270,3,70.4,204.7,67,2491,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1271,31,91.15,2995.45,83,5219,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1272,2,70.95,137.95,94,5390,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1273,37,99.5,3762.0,92,4233,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1274,38,83.9,3233.6,82,2157,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1275,48,117.45,5438.9,67,5915,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
1276,10,104.4,1081.45,84,5035,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1277,8,29.4,221.9,85,5971,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
1278,2,44.65,74.9,99,4655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1279,3,25.25,58.9,76,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1280,4,84.05,333.55,95,5552,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1281,37,85.7,3171.15,86,4712,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1282,1,74.7,74.7,75,4692,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1283,5,90.8,455.5,73,5090,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1284,28,106.15,3152.5,83,5030,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1285,30,85.35,2530.4,73,2313,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
1286,36,90.85,3186.7,92,5692,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1287,1,35.75,35.75,70,3351,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1288,4,46.0,181.6,92,4797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1289,17,89.4,1539.45,96,2544,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
1290,3,19.8,58.15,79,4323,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1
1291,4,50.9,225.6,69,5691,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1292,4,81.0,340.85,88,3591,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1293,26,98.35,2515.3,99,4997,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1294,5,51.0,305.95,86,4630,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
1295,4,91.65,365.4,90,2140,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1296,1,90.85,90.85,80,5086,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1297,1,69.4,69.4,84,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1298,8,94.45,742.95,83,3676,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
1299,1,20.15,20.15,70,4277,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1
1300,50,95.7,4816.7,73,4287,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1301,26,74.95,1834.95,76,2934,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1302,6,47.95,305.1,80,2240,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1303,3,63.6,155.65,70,3155,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
1304,3,36.85,108.7,91,5825,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1305,1,44.1,44.1,70,5955,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1306,14,50.75,712.75,82,4883,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1307,61,104.4,6405.0,84,4412,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
1308,40,39.3,1637.4,99,2296,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1309,58,106.45,6145.85,82,5902,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
1310,18,96.05,1740.7,97,5581,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1311,7,75.1,552.95,96,5514,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1312,2,44.7,93.7,98,4618,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1313,19,55.0,1046.5,73,4539,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1314,11,74.35,834.2,80,5075,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1315,39,104.7,4134.85,68,2371,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1
1316,15,55.7,899.8,73,4519,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1317,5,19.85,108.05,99,3799,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1318,1,70.3,70.3,88,5963,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1319,10,85.55,851.75,81,3336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1320,6,94.5,575.45,100,3469,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
1321,16,85.35,1375.15,66,5769,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1322,2,79.65,152.7,100,5082,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1323,2,79.6,195.05,94,4322,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1324,19,90.6,1660.0,87,2373,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1325,1,20.2,20.2,98,3061,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1
1326,66,106.05,6981.35,83,5602,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1327,36,99.15,3615.6,75,4188,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1328,39,55.9,2184.35,67,5632,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
1329,21,82.35,1852.85,90,2902,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1330,2,40.4,77.15,86,3620,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1331,4,75.35,338.1,92,2220,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1332,35,85.15,3030.6,81,5928,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1
1333,33,93.8,3124.5,76,5080,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
1334,45,20.4,930.45,87,5398,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1
1335,7,94.7,673.1,75,3591,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1336,6,30.5,208.7,93,4667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1337,3,77.0,237.75,96,3128,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1338,11,20.1,221.35,95,4500,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
1339,1,75.3,75.3,66,2176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1340,40,99.2,4062.2,69,5098,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
1341,47,85.5,4042.3,68,3645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1342,7,20.05,164.85,89,5595,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
1343,1,70.4,70.4,70,4238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1344,7,49.75,331.3,75,5651,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
1345,15,75.3,1147.45,99,4526,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1346,11,94.0,1078.9,67,2120,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1347,67,118.35,7804.15,91,6255,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1
1348,8,30.45,226.45,94,4549,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1349,44,96.1,4364.1,87,5606,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
1350,24,104.25,2433.9,80,2104,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1351,15,80.2,1217.25,76,4958,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1352,17,104.2,1743.5,79,2365,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1353,1,69.65,69.65,78,5844,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1354,9,80.8,713.1,90,3890,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1355,7,80.3,526.7,75,3949,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1356,36,84.1,3021.6,79,2987,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1357,3,69.35,191.35,98,3520,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
1358,34,79.6,2718.3,66,3980,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1359,1,36.45,36.45,96,5303,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1360,22,89.4,2001.5,99,5438,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1361,47,80.35,3825.85,95,5915,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1362,24,40.65,933.3,85,3843,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1363,53,60.45,3184.25,98,5650,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1
1364,8,84.9,764.95,85,2656,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
1365,2,73.55,145.4,97,5799,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1366,8,20.15,156.25,98,4785,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1367,48,34.7,1604.5,90,5995,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1368,43,107.55,4533.9,93,4423,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1
1369,16,98.75,1587.55,87,3392,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
1370,8,101.15,842.9,76,2750,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
1371,20,88.7,1761.45,86,4115,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
1372,2,79.75,164.5,98,5172,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1373,27,94.55,2724.6,89,4464,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
1374,5,69.05,318.5,74,3368,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
